name,lineage,bootstrap,ambiguity,representative
England/20108007402/2020|EPI_ISL_417257||United_Kingdom|England||2020-03-03,B.1.7,98/83,0.62,
England/20108034006/2020|EPI_ISL_417258||United_Kingdom|England||2020-03-06,B.1.10,94,0.01,
England/20108125106/2020|EPI_ISL_417259||United_Kingdom|England||2020-03-04,B,91,2.4,
England/20109035906/2020|EPI_ISL_417260||United_Kingdom|England||2020-03-05,B.1,98/94,0,
England/20109039306/2020|EPI_ISL_417262||United_Kingdom|England||2020-03-06,B.2.1,99/78,0.83,
England/20109047803/2020|EPI_ISL_418667||United_Kingdom|England||2020-03-07,B.1,100,0,
England/20109050106/2020|EPI_ISL_417263||United_Kingdom|England||2020-03-06,B,90/94,0.27,
England/20109050306/2020|EPI_ISL_417264||United_Kingdom|England||2020-03-04,B,90/97,0.01,
England/20109050406/2020|EPI_ISL_417265||United_Kingdom|England||2020-03-08,B.1.1,100,0,
England/20109050506/2020|EPI_ISL_417266||United_Kingdom|England||2020-03-05,B.1,99/100,0.05,
England/20109050606/2020|EPI_ISL_417267||United_Kingdom|England||2020-03-05,B.2.1,79,0.1,
England/20109050706/2020|EPI_ISL_417268||United_Kingdom|England||2020-03-05,B.2.1,99/100,0,
England/20109050806/2020|EPI_ISL_417269||United_Kingdom|England||2020-03-05,B.2.1,81,0.05,
England/20109051806/2020|EPI_ISL_417270||United_Kingdom|England||2020-03-06,B.2.1,99/91,0.11,
England/20109051906/2020|EPI_ISL_417271||United_Kingdom|England||2020-03-06,B.1,80,1.18,
England/20109052006/2020|EPI_ISL_417272||United_Kingdom|England||2020-03-06,B.1,79,0,
England/20109052106/2020|EPI_ISL_417273||United_Kingdom|England||2020-03-06,B.1.1,100/99,0.8,
England/20109052206/2020|EPI_ISL_417274||United_Kingdom|England||2020-03-06,B.1,77,2.17,
England/20109052306/2020|EPI_ISL_417275||United_Kingdom|England||2020-03-06,B.2.5,62/86,1.58,
England/20109052506/2020|EPI_ISL_417276||United_Kingdom|England||2020-03-07,B,90/94,0.01,
England/20109053406/2020|EPI_ISL_417278||United_Kingdom|England||2020-03-07,B.1,79,0.68,
England/20109053606/2020|EPI_ISL_417279||United_Kingdom|England||2020-03-07,B.1,May-75,0.01,
England/20109054806/2020|EPI_ISL_417280||United_Kingdom|England||2020-03-07,B.2.2,63/87,0,
England/20109056406/2020|EPI_ISL_417281||United_Kingdom|England||2020-03-06,B.2,86,1.06,
England/20109056906/2020|EPI_ISL_417282||United_Kingdom|England||2020-03-05,B.2.1,99/78,0,
England/20109058906/2020|EPI_ISL_417283||United_Kingdom|England||2020-03-06,B,90/96,0.01,
England/20109060106/2020|EPI_ISL_417284||United_Kingdom|England||2020-03-07,B.2.1,99/80,1.37,
England/20109093606/2020|EPI_ISL_417285||United_Kingdom|England||2020-03-06,B,99,0.01,
England/20109093706/2020|EPI_ISL_417286||United_Kingdom|England||2020-03-05,B.8,53/76,0.01,
England/20109093806/2020|EPI_ISL_417287||United_Kingdom|England||2020-03-06,B.1,76,0.21,
England/20109093906/2020|EPI_ISL_417288||United_Kingdom|England||2020-03-05,B.8,97,0.89,
England/20109094006/2020|EPI_ISL_417289||United_Kingdom|England||2020-03-06,B.2.2,63/86,0,1
England/20109094106/2020|EPI_ISL_417290||United_Kingdom|England||2020-03-06,B.2,86,0.06,
England/20109094206/2020|EPI_ISL_417291||United_Kingdom|England||2020-03-08,B.2,83,0.01,
England/20109094506/2020|EPI_ISL_417292||United_Kingdom|England||2020-03-08,B.2,88,0.3,
England/20109097506/2020|EPI_ISL_417293||United_Kingdom|England||2020-03-08,B.1,May-95,0,
England/20109097906/2020|EPI_ISL_417294||United_Kingdom|England||2020-03-08,B.1,91,1.48,
England/20109098806/2020|EPI_ISL_417295||United_Kingdom|England||2020-03-08,B.1,79,0.03,
England/20109098906/2020|EPI_ISL_417296||United_Kingdom|England||2020-03-06,B,90/99,0.43,
England/20109099006/2020|EPI_ISL_417297||United_Kingdom|England||2020-03-06,B.1,98/98,0,
England/20109099106/2020|EPI_ISL_417298||United_Kingdom|England||2020-03-08,B.1,67,0.06,
England/20109099206/2020|EPI_ISL_417299||United_Kingdom|England||2020-03-08,B.1,75,0,
England/20110000606/2020|EPI_ISL_417301||United_Kingdom|England||2020-03-06,B.1,99/99,0,
England/20110000706/2020|EPI_ISL_417302||United_Kingdom|England||2020-03-05,B.1,22/100,0,
England/20110000806/2020|EPI_ISL_417303||United_Kingdom|England||2020-03-05,B.2.2,63/88,1.47,
England/20110000906/2020|EPI_ISL_417304||United_Kingdom|England||2020-03-06,B.1,22/99,1.53,
England/20110003506/2020|EPI_ISL_415150||United_Kingdom|England||2020-03-09,B.1,Sep-99,0.67,
England/20110005006/2020|EPI_ISL_417305||United_Kingdom|England||2020-03-08,B.2.1,99/79,1.3,
England/20110015106/2020|EPI_ISL_417306||United_Kingdom|England||2020-03-08,B,90/99,0.75,
England/20110023706/2020|EPI_ISL_417307||United_Kingdom|England||2020-03-08,B.1.1,99,0.09,
England/20110042006/2020|EPI_ISL_417308||United_Kingdom|England||2020-03-06,B.1,98/100,1.93,
England/20110042106/2020|EPI_ISL_417309||United_Kingdom|England||2020-03-06,B.1,98/98,1.92,
England/20110043706/2020|EPI_ISL_417310||United_Kingdom|England||2020-03-07,B.1.11,85,1.91,
England/20110058706/2020|EPI_ISL_417311||United_Kingdom|England||2020-03-09,B.1,98/100,0,
England/20110059306/2020|EPI_ISL_417312||United_Kingdom|England||2020-03-08,B,90/97,0.01,
England/20110097506/2020|EPI_ISL_417313||United_Kingdom|England||2020-03-08,B,90/98,0.01,
England/20110136302/2020|EPI_ISL_418668||United_Kingdom|England||2020-03-09,B.1.13,82,0,
England/20112112106/2020|EPI_ISL_417314||United_Kingdom|England||2020-03-10,B.2.1,37/82,0.69,
England/20114052703/2020|EPI_ISL_420458||United_Kingdom|England||2020-03-11,B.8,93,0.9,
England/20114054003/2020|EPI_ISL_420459||United_Kingdom|England||2020-03-09,B.1,26/89,2.07,
England/20114099003/2020|EPI_ISL_420460||United_Kingdom|England||2020-03-10,B.2,98/82,2.16,
England/20116022902/2020|EPI_ISL_418669||United_Kingdom|England||2020-03-11,B.2.4,99/80,0,1
England/20116025603/2020|EPI_ISL_418670||United_Kingdom|England||2020-03-11,B,97,0.01,
England/20116078703/2020|EPI_ISL_420461||United_Kingdom|England||2020-03-10,B.2,89,1.6,
England/20118044606/2020|EPI_ISL_417315||United_Kingdom|England||2020-03-13,B.2.1,99/81,0,
England/20118066603/2020|EPI_ISL_420462||United_Kingdom|England||2020-03-12,B.2.1,80,1.14,
England/20118137803/2020|EPI_ISL_420463||United_Kingdom|England||2020-03-12,B,90/97,2.19,
England/20119026102/2020|EPI_ISL_418671||United_Kingdom|England||2020-03-13,B.1,99/99,0,
England/20120002102/2020|EPI_ISL_418672||United_Kingdom|England||2020-03-15,B.2.1,99/83,0,
England/20120033002/2020|EPI_ISL_420464||United_Kingdom|England||2020-03-12,B.1,98/97,0.21,
England/20122032802/2020|EPI_ISL_418673||United_Kingdom|England||2020-03-16,B.1,99/100,0,
England/20122069402/2020|EPI_ISL_418674||United_Kingdom|England||2020-03-16,B.1,98/97,2.3,
England/20122073102/2020|EPI_ISL_418675||United_Kingdom|England||2020-03-16,B,90/97,0.01,
England/20122074602/2020|EPI_ISL_418676||United_Kingdom|England||2020-03-10,B.2,99/82,0,1
England/20122087702/2020|EPI_ISL_418677||United_Kingdom|England||2020-03-15,B.2.1,99/75,0.01,
England/20122088102/2020|EPI_ISL_418678||United_Kingdom|England||2020-03-16,B.2.1,99/85,0.01,
England/20122099003/2020|EPI_ISL_420465||United_Kingdom|England||2020-03-16,B.1.20,98,1.19,
England/20122119202/2020|EPI_ISL_418679||United_Kingdom|England||2020-03-17,B.3,82,0,1
England/20122119302/2020|EPI_ISL_418680||United_Kingdom|England||2020-03-17,B.2.1,46/83,0,
England/20122119502/2020|EPI_ISL_418681||United_Kingdom|England||2020-03-17,B.1,98/97,0,
England/20124000803/2020|EPI_ISL_418682||United_Kingdom|England||2020-03-17,B.1,May-91,2.13,
England/20124001202/2020|EPI_ISL_418683||United_Kingdom|England||2020-03-17,B.3,100,1.03,
England/20124001302/2020|EPI_ISL_418684||United_Kingdom|England||2020-03-17,B.1.7,98/84,0.62,
England/20124001702/2020|EPI_ISL_418685||United_Kingdom|England||2020-03-17,B.2,80,0.64,
England/20124001902/2020|EPI_ISL_418686||United_Kingdom|England||2020-03-17,B.2,98/85,0.6,
England/20124002002/2020|EPI_ISL_418687||United_Kingdom|England||2020-03-17,B.2,88,0.01,
England/20124002102/2020|EPI_ISL_418688||United_Kingdom|England||2020-03-17,B.2.1,89,0.15,
England/20124003502/2020|EPI_ISL_418689||United_Kingdom|England||2020-03-17,B.1,98/97,3.37,
England/20124003702/2020|EPI_ISL_418690||United_Kingdom|England||2020-03-17,B.1,26/92,0,
England/20124003902/2020|EPI_ISL_418691||United_Kingdom|England||2020-03-17,B.3,83,0.01,
England/20124004302/2020|EPI_ISL_418692||United_Kingdom|England||2020-03-17,B.2.1,37/94,0,
England/20124004402/2020|EPI_ISL_418693||United_Kingdom|England||2020-03-16,B.2.1,37/88,1.12,
England/20124008902/2020|EPI_ISL_418694||United_Kingdom|England||2020-03-16,B.3,98/100,0.21,
England/20124009202/2020|EPI_ISL_418695||United_Kingdom|England||2020-03-16,B.1,99/100,2.65,
England/20124009602/2020|EPI_ISL_418696||United_Kingdom|England||2020-03-18,B.8,84,0.01,
England/20124011302/2020|EPI_ISL_418697||United_Kingdom|England||2020-03-16,B.2.1,99/85,0.61,
England/20124012702/2020|EPI_ISL_418698||United_Kingdom|England||2020-03-17,B.2.1,85,0.01,
England/20124012902/2020|EPI_ISL_418699||United_Kingdom|England||2020-03-18,B.2.1,99/80,1.89,
England/20124013202/2020|EPI_ISL_418700||United_Kingdom|England||2020-03-17,B.8,99/71,0.01,
England/20124020402/2020|EPI_ISL_418701||United_Kingdom|England||2020-03-17,B.1.13,75,0,1
England/20124020802/2020|EPI_ISL_418702||United_Kingdom|England||2020-03-16,B.1.7,98/88,0,
England/20124021402/2020|EPI_ISL_418704||United_Kingdom|England||2020-03-17,B.1,90,0,
England/20124022802/2020|EPI_ISL_418705||United_Kingdom|England||2020-03-17,B.2.1,99/90,1.12,
England/20124029802/2020|EPI_ISL_418706||United_Kingdom|England||2020-03-17,B.2.1,82,0,
England/20124030003/2020|EPI_ISL_418707||United_Kingdom|England||2020-03-17,B.2.5,90,0,1
England/20124030802/2020|EPI_ISL_418708||United_Kingdom|England||2020-03-17,B.1,98/97,0.01,
England/20124034002/2020|EPI_ISL_418709||United_Kingdom|England||2020-03-16,B.2,85,0.69,
England/20124034102/2020|EPI_ISL_418710||United_Kingdom|England||2020-03-16,B.2,98/87,2.63,
England/20124034702/2020|EPI_ISL_418711||United_Kingdom|England||2020-03-16,B.2.1,84,0,
England/20124034902/2020|EPI_ISL_418712||United_Kingdom|England||2020-03-16,B.2.1,93,1.06,
England/20124035502/2020|EPI_ISL_418713||United_Kingdom|England||2020-03-17,B.2.1,99/83,4.95,
England/20124035702/2020|EPI_ISL_418714||United_Kingdom|England||2020-03-17,B.2.1,37/90,1.13,
England/20124035802/2020|EPI_ISL_418715||United_Kingdom|England||2020-03-17,B.2.1,99/93,0.51,
England/20124036002/2020|EPI_ISL_418716||United_Kingdom|England||2020-03-17,B.2.1,99/90,0.09,
England/20124036202/2020|EPI_ISL_418717||United_Kingdom|England||2020-03-17,B.2.1,99/86,1.9,
England/20124036902/2020|EPI_ISL_418718||United_Kingdom|England||2020-03-18,B.2.1,91,0,
England/20124037102/2020|EPI_ISL_418719||United_Kingdom|England||2020-03-18,B.2.1,99/84,1.36,
England/20124037302/2020|EPI_ISL_418720||United_Kingdom|England||2020-03-17,B.1.11,27/73,0.62,
England/20124037902/2020|EPI_ISL_418721||United_Kingdom|England||2020-03-18,B.2,98/86,1.64,
England/20124048202/2020|EPI_ISL_418722||United_Kingdom|England||2020-03-17,B.2,87,0.49,
England/20124049402/2020|EPI_ISL_418723||United_Kingdom|England||2020-03-16,B.1.10,98/98,0,1
England/20124086902/2020|EPI_ISL_418724||United_Kingdom|England||2020-03-18,B.2.2,80,1.22,
England/20124094702/2020|EPI_ISL_418725||United_Kingdom|England||2020-03-18,B.2,92,1.38,
England/20124094902/2020|EPI_ISL_418726||United_Kingdom|England||2020-03-13,B.2.1,99/86,1.42,
England/20124095002/2020|EPI_ISL_418727||United_Kingdom|England||2020-03-13,B.2,86,1.89,
England/20124095202/2020|EPI_ISL_418728||United_Kingdom|England||2020-03-18,B.1,82,2.57,
England/20124095502/2020|EPI_ISL_418729||United_Kingdom|England||2020-03-18,B.1,May-76,0.01,
England/20124095702/2020|EPI_ISL_418730||United_Kingdom|England||2020-03-18,B.2,98/79,2.86,
England/20124095802/2020|EPI_ISL_418731||United_Kingdom|England||2020-03-13,B.2,99/96,2.38,
England/20124096402/2020|EPI_ISL_418732||United_Kingdom|England||2020-03-13,B.2.5,88,4.14,
England/20124096802/2020|EPI_ISL_418733||United_Kingdom|England||2020-03-18,B.1,98/100,0.23,
England/20124097102/2020|EPI_ISL_418734||United_Kingdom|England||2020-03-13,B.2.5,99/93,0.03,
England/20124098502/2020|EPI_ISL_418735||United_Kingdom|England||2020-03-18,B.1.11,99/68,2.51,
England/20124099602/2020|EPI_ISL_418736||United_Kingdom|England||2020-03-18,B,95,0.74,
England/20124100002/2020|EPI_ISL_418737||United_Kingdom|England||2020-03-17,B.2.1,99/87,0.12,
England/20124101102/2020|EPI_ISL_418739||United_Kingdom|England||2020-03-18,B.2.1,99/83,0,
England/20124101202/2020|EPI_ISL_418740||United_Kingdom|England||2020-03-18,B.2.1,91,1.47,
England/20124101302/2020|EPI_ISL_418741||United_Kingdom|England||2020-03-18,B,90/92,1.53,
England/20126003802/2020|EPI_ISL_418743||United_Kingdom|England||2020-03-17,B.2,85,2.49,
England/20126003902/2020|EPI_ISL_418744||United_Kingdom|England||2020-03-19,B.1,99,1.17,
England/20126004502/2020|EPI_ISL_418745||United_Kingdom|England||2020-03-18,B.1,70,2.58,
England/20126006402/2020|EPI_ISL_418746||United_Kingdom|England||2020-03-18,B.1,98/97,2.23,
England/20126006502/2020|EPI_ISL_418747||United_Kingdom|England||2020-03-19,B.2.1,37/80,1.63,
England/20126006702/2020|EPI_ISL_418748||United_Kingdom|England||2020-03-18,B.1,99/100,0.62,
England/20126006802/2020|EPI_ISL_418749||United_Kingdom|England||2020-03-18,B.1.11,99/78,0.05,
England/20126007002/2020|EPI_ISL_418750||United_Kingdom|England||2020-03-18,B.1.11,87,0.48,
England/20126007102/2020|EPI_ISL_418751||United_Kingdom|England||2020-03-18,B.1.11,91,0,1
England/20126007202/2020|EPI_ISL_418752||United_Kingdom|England||2020-03-16,B.2.1,46/88,2.56,
England/20126008702/2020|EPI_ISL_418753||United_Kingdom|England||2020-03-19,B.1.11,88,1.87,
England/20126011202/2020|EPI_ISL_418754||United_Kingdom|England||2020-03-17,B.2.1,99/89,1.28,
England/20126012702/2020|EPI_ISL_418756||United_Kingdom|England||2020-03-17,B.1.13,74,0,
England/20126025202/2020|EPI_ISL_418757||United_Kingdom|England||2020-03-18,B.2.1,99/85,2.12,
England/20126025902/2020|EPI_ISL_418758||United_Kingdom|England||2020-03-18,B.2.1,81,2.58,
England/20126026202/2020|EPI_ISL_418759||United_Kingdom|England||2020-03-18,B.1,98/98,2.88,
England/20126032802/2020|EPI_ISL_418760||United_Kingdom|England||2020-03-19,B.2.1,99/84,1.76,
England/20126033202/2020|EPI_ISL_418761||United_Kingdom|England||2020-03-18,B.1.5,99/100,1.66,
England/20126034302/2020|EPI_ISL_418762||United_Kingdom|England||2020-03-19,B.1,98/100,3.99,
England/20126034602/2020|EPI_ISL_418763||United_Kingdom|England||2020-03-17,B.2.1,37/84,4.41,
England/20126035502/2020|EPI_ISL_418764||United_Kingdom|England||2020-03-18,B.2.1,46/89,0.06,
England/20126036002/2020|EPI_ISL_418765||United_Kingdom|England||2020-03-18,B.2.1,37/85,3.79,
England/20126036102/2020|EPI_ISL_418766||United_Kingdom|England||2020-03-18,B.2.1,99/92,1.93,
England/20126045602/2020|EPI_ISL_418767||United_Kingdom|England||2020-03-18,B.3,98/81,1.5,
England/20126046602/2020|EPI_ISL_418768||United_Kingdom|England||2020-03-18,B.2.1,99/71,2.9,
England/20126063003/2020|EPI_ISL_420466||United_Kingdom|England||2020-03-18,B.1.20,99,0.6,1
England/20126063203/2020|EPI_ISL_420467||United_Kingdom|England||2020-03-18,B.1,98/93,1.25,
England/20126096502/2020|EPI_ISL_418769||United_Kingdom|England||2020-03-18,B.1,98/100,1.76,
England/20126096602/2020|EPI_ISL_418770||United_Kingdom|England||2020-03-18,B.1.1,82,0,
England/20128031902/2020|EPI_ISL_420468||United_Kingdom|England||2020-03-18,B.2.1,37/77,1.77,
England/20128032802/2020|EPI_ISL_420469||United_Kingdom|England||2020-03-18,B,90/96,1.38,
England/20128033202/2020|EPI_ISL_420470||United_Kingdom|England||2020-03-18,B.1.10,94,1.74,
England/20128033702/2020|EPI_ISL_420471||United_Kingdom|England||2020-03-18,B.1,100,1.89,
England/20128033802/2020|EPI_ISL_420472||United_Kingdom|England||2020-03-18,B.1,97,1.82,
England/20128033902/2020|EPI_ISL_420473||United_Kingdom|England||2020-03-18,B.1,99/100,3.67,
England/20128034002/2020|EPI_ISL_420474||United_Kingdom|England||2020-03-18,B.3,Feb-83,1.81,
England/20128034302/2020|EPI_ISL_420475||United_Kingdom|England||2020-03-19,B.1,98/100,1.4,
England/20128034402/2020|EPI_ISL_420476||United_Kingdom|England||2020-03-18,B.1,98/100,2.59,
England/20128035202/2020|EPI_ISL_420477||United_Kingdom|England||2020-03-18,B.1.10,98/94,0.54,1
England/20128046202/2020|EPI_ISL_420478||United_Kingdom|England||2020-03-19,B.1.13,Mar-75,0.15,
England/20128046302/2020|EPI_ISL_420479||United_Kingdom|England||2020-03-19,B.1.13,74,0.5,
England/20128065802/2020|EPI_ISL_420480||United_Kingdom|England||2020-03-18,B.1,99/100,1.85,
England/20128084702/2020|EPI_ISL_420481||United_Kingdom|England||2020-03-18,B.1,98/95,2.43,
England/20128090902/2020|EPI_ISL_420483||United_Kingdom|England||2020-03-18,B.1.1,99,1.9,
England/20129006802/2020|EPI_ISL_420484||United_Kingdom|England||2020-03-19,B.1.1,99,2.21,
England/20129008002/2020|EPI_ISL_420485||United_Kingdom|England||2020-03-18,B.1,98/95,3.45,
England/20129013302/2020|EPI_ISL_420486||United_Kingdom|England||2020-03-19,B.2.1,99/80,1.25,
England/20129039902/2020|EPI_ISL_420487||United_Kingdom|England||2020-03-20,B.1,98/100,3.52,
England/20129040102/2020|EPI_ISL_420488||United_Kingdom|England||2020-03-20,B.3,98/81,0.43,
England/20129040602/2020|EPI_ISL_420489||United_Kingdom|England||2020-03-20,B.1,Jan-94,1.92,
England/20130000102/2020|EPI_ISL_420490||United_Kingdom|England||2020-03-23,B.1,98/100,1.34,
England/20130023803/2020|EPI_ISL_420491||United_Kingdom|England||2020-03-20,B.1,99/100,2.53,
England/20130024003/2020|EPI_ISL_420492||United_Kingdom|England||2020-03-20,B.2.1,77,0.83,
England/20130024203/2020|EPI_ISL_420493||United_Kingdom|England||2020-03-20,B.1,97,1.7,
England/20130027103/2020|EPI_ISL_420494||United_Kingdom|England||2020-03-23,B.2.1,99/86,1.74,
England/20130028102/2020|EPI_ISL_420631||United_Kingdom|England||2020-03-19,B.1,98/97,1.23,
England/20130028203/2020|EPI_ISL_420495||United_Kingdom|England||2020-03-19,B.2.1,83,2.5,
England/20130054802/2020|EPI_ISL_420632||United_Kingdom|England||2020-03-19,B.1.1,83,1.46,
England/20130055502/2020|EPI_ISL_420633||United_Kingdom|England||2020-03-19,B.1.20,99/100,0.15,1
England/20130055602/2020|EPI_ISL_420634||United_Kingdom|England||2020-03-20,B.1.10,98/98,2.83,
England/20130056303/2020|EPI_ISL_420496||United_Kingdom|England||2020-03-20,B.1,100,1.73,
England/20132020106/2020|EPI_ISL_420635||United_Kingdom|England||2020-03-22,B.1.13,97/76,1.11,
England/20132048102/2020|EPI_ISL_420497||United_Kingdom|England||2020-03-22,B.1,85,1.99,
England/20132048802/2020|EPI_ISL_420498||United_Kingdom|England||2020-03-22,B.1,9/100,2.06,
England/20132049202/2020|EPI_ISL_420499||United_Kingdom|England||2020-03-21,B.1.5,99/100,2.33,
England/20132050802/2020|EPI_ISL_420500||United_Kingdom|England||2020-03-22,B.1,99,3.48,
England/20132051502/2020|EPI_ISL_420501||United_Kingdom|England||2020-03-22,B.1,96,2.53,
England/20132052902/2020|EPI_ISL_420503||United_Kingdom|England||2020-03-22,B.1,98/95,1.52,
England/20132053202/2020|EPI_ISL_420504||United_Kingdom|England||2020-03-22,B.1,99/99,1.73,
England/20132053902/2020|EPI_ISL_420505||United_Kingdom|England||2020-03-22,B.1,22/100,2.49,
England/20132072203/2020|EPI_ISL_420506||United_Kingdom|England||2020-03-23,B.1.20,22/99,1.2,
England/20132072602/2020|EPI_ISL_420507||United_Kingdom|England||2020-03-20,B.2.1,99/84,1.91,
England/20132072802/2020|EPI_ISL_420508||United_Kingdom|England||2020-03-23,B.1,82,0.01,
England/20132073702/2020|EPI_ISL_420509||United_Kingdom|England||2020-03-23,B.1,65,1.59,
England/20132074102/2020|EPI_ISL_420510||United_Kingdom|England||2020-03-23,B.1,76,1.17,
England/20132074202/2020|EPI_ISL_420511||United_Kingdom|England||2020-03-23,B.1,99/100,1.39,
England/20132087602/2020|EPI_ISL_420512||United_Kingdom|England||2020-03-23,B.1,98/97,1.33,
England/20134010002/2020|EPI_ISL_420513||United_Kingdom|England||2020-03-23,B.2.1,99/91,1.49,
England/20134016002/2020|EPI_ISL_420514||United_Kingdom|England||2020-03-24,B.1,100,1.9,
England/20134040703/2020|EPI_ISL_420515||United_Kingdom|England||2020-03-24,B.1.20,Sep-99,2.29,
England/20134040803/2020|EPI_ISL_420516||United_Kingdom|England||2020-03-23,B.2,87,1.9,
England/20134058202/2020|EPI_ISL_420517||United_Kingdom|England||2020-03-23,B.2,98/89,2.97,
England/20134081702/2020|EPI_ISL_420518||United_Kingdom|England||2020-03-23,B.2.1,99/93,1.73,
England/20136006402/2020|EPI_ISL_420519||United_Kingdom|England||2020-03-25,B.1,92,2.99,
England/20136015502/2020|EPI_ISL_420520||United_Kingdom|England||2020-03-24,B.3,98/83,0.85,
England/20136085404/2020|EPI_ISL_420636||United_Kingdom|England||2020-03-24,B.1,99/100,0,
England/20136087004/2020|EPI_ISL_420637||United_Kingdom|England||2020-03-26,B.1,99/100,1.1,
England/20136087304/2020|EPI_ISL_420638||United_Kingdom|England||2020-03-25,B.1,99/99,1.1,
England/20136087804/2020|EPI_ISL_420910||United_Kingdom|England||2020-03-25,B.1,22/98,0.12,
England/20136088302/2020|EPI_ISL_420639||United_Kingdom|England||2020-03-26,B.1,100,1.3,
England/20136088602/2020|EPI_ISL_420640||United_Kingdom|England||2020-03-23,B,90/97,0.02,
England/20136088702/2020|EPI_ISL_420641||United_Kingdom|England||2020-03-25,B.2,99/79,1.68,
England/20136089402/2020|EPI_ISL_420642||United_Kingdom|England||2020-03-23,B,90/97,0.39,
England/20136094704/2020|EPI_ISL_420643||United_Kingdom|England||2020-03-26,B.1.11,92,0.67,
England/20136095504/2020|EPI_ISL_420644||United_Kingdom|England||2020-03-25,B.1,22/99,2.08,
England/20136095604/2020|EPI_ISL_420645||United_Kingdom|England||2020-03-13,B.1,22/99,0.99,
England/20136095704/2020|EPI_ISL_420646||United_Kingdom|England||2020-03-25,B.1,100,1.02,
England/20136096104/2020|EPI_ISL_420647||United_Kingdom|England||2020-03-25,B.1,99/99,1.79,
England/20136096504/2020|EPI_ISL_420648||United_Kingdom|England||2020-03-23,B.1,99/100,0.8,
England/20136096704/2020|EPI_ISL_420649||United_Kingdom|England||2020-03-23,B.1,98/100,1.38,
England/20136096804/2020|EPI_ISL_420650||United_Kingdom|England||2020-03-23,B.1,98/100,2.44,
England/20136096904/2020|EPI_ISL_420651||United_Kingdom|England||2020-03-23,B.1,98/100,1.41,
England/20136097204/2020|EPI_ISL_420652||United_Kingdom|England||2020-03-23,B.1,98/100,0.23,
England/20136097302/2020|EPI_ISL_420653||United_Kingdom|England||2020-03-23,B.1,98/100,1.65,
England/20136097402/2020|EPI_ISL_420654||United_Kingdom|England||2020-03-23,B.1,100,2.1,
England/20136097704/2020|EPI_ISL_420655||United_Kingdom|England||2020-03-24,B.1,99/100,1.53,
England/20136097804/2020|EPI_ISL_420656||United_Kingdom|England||2020-03-25,B.1,98,1.74,
England/20136097904/2020|EPI_ISL_420657||United_Kingdom|England||2020-03-25,B,92,2.04,
England/20138012802/2020|EPI_ISL_420521||United_Kingdom|England||2020-03-25,B.1,98/100,0.28,
England/20138014402/2020|EPI_ISL_420522||United_Kingdom|England||2020-03-25,B.1,98/91,0.47,
England/20139007104/2020|EPI_ISL_420658||United_Kingdom|England||2020-03-27,B.1,99/99,3.92,
England/20139007404/2020|EPI_ISL_420659||United_Kingdom|England||2020-03-26,B.1,98/100,1.07,
England/20139010904/2020|EPI_ISL_420660||United_Kingdom|England||2020-03-27,B.1,98/100,1.01,
England/20139013406/2020|EPI_ISL_420661||United_Kingdom|England||2020-03-27,B.1,98/97,0.58,
England/20139013706/2020|EPI_ISL_420662||United_Kingdom|England||2020-03-27,B.1,98/96,3.83,
England/20139018202/2020|EPI_ISL_420523||United_Kingdom|England||2020-03-26,B.3,82,0.88,
England/20139018302/2020|EPI_ISL_420524||United_Kingdom|England||2020-03-26,A.2,31/93,0.49,
England/20139019902/2020|EPI_ISL_420525||United_Kingdom|England||2020-03-26,B.3,98/83,3.01,
England/20139020106/2020|EPI_ISL_420663||United_Kingdom|England||2020-03-26,B.1,98/98,1.7,
England/20139020506/2020|EPI_ISL_420664||United_Kingdom|England||2020-03-26,B.2.1,89,1.31,
England/20139029904/2020|EPI_ISL_420665||United_Kingdom|England||2020-03-26,B.3,83,1.55,
England/20139030004/2020|EPI_ISL_420666||United_Kingdom|England||2020-03-26,B.3,82,1.92,
England/20139030304/2020|EPI_ISL_420667||United_Kingdom|England||2020-03-26,B.1.13,69,1.08,
England/20139035104/2020|EPI_ISL_420668||United_Kingdom|England||2020-03-27,B.1.5,99/100,1.48,
England/20139035504/2020|EPI_ISL_420669||United_Kingdom|England||2020-03-27,B.1,98/95,1.49,
England/20139037504/2020|EPI_ISL_420670||United_Kingdom|England||2020-03-27,B.2.1,99/84,0.65,
England/20139038004/2020|EPI_ISL_420671||United_Kingdom|England||2020-03-28,B.3,99/66,3.69,
England/20139038104/2020|EPI_ISL_420672||United_Kingdom|England||2020-03-27,B.1.5,99/100,0.98,
England/20139039504/2020|EPI_ISL_420673||United_Kingdom|England||2020-03-27,B.2.1,81,0.99,
England/20139042404/2020|EPI_ISL_420674||United_Kingdom|England||2020-03-28,B.1,98/97,3.03,
England/20139042704/2020|EPI_ISL_420675||United_Kingdom|England||2020-03-28,B.1,100,3.59,
England/20139042804/2020|EPI_ISL_420676||United_Kingdom|England||2020-03-28,B.2.4,97,3.79,
England/20139042904/2020|EPI_ISL_420677||United_Kingdom|England||2020-03-28,B.1,97/81,1.01,
England/20139043404/2020|EPI_ISL_420678||United_Kingdom|England||2020-03-28,B.1,72,1.87,
England/20139043604/2020|EPI_ISL_420679||United_Kingdom|England||2020-03-28,B.1,77,1.63,
England/20139044104/2020|EPI_ISL_420680||United_Kingdom|England||2020-03-29,B.2,95,4.16,
England/20139044304/2020|EPI_ISL_420681||United_Kingdom|England||2020-03-28,B.8,99/81,1.04,
