header	name	GISAID	country	date	lineage	representative
Netherlands/Gelderland/2/2020|EPI_ISL_415462|2020-03-09	Netherlands/Gelderland/2/2020	EPI_ISL_415462	Netherlands	2020-03-09	B.1.8	
Netherlands/Gelderland/3/2020|EPI_ISL_415463|2020-03-09	Netherlands/Gelderland/3/2020	EPI_ISL_415463	Netherlands	2020-03-09	B.1	
Netherlands/NA/1/2020|EPI_ISL_415465|2020-03-10	Netherlands/NA/1/2020	EPI_ISL_415465	Netherlands	2020-03-10	B.1	
Netherlands/NA/10/2020|EPI_ISL_415466|2020-03-09	Netherlands/NA/10/2020	EPI_ISL_415466	Netherlands	2020-03-09	B.1	
Netherlands/NA/11/2020|EPI_ISL_415467|2020-03-10	Netherlands/NA/11/2020	EPI_ISL_415467	Netherlands	2020-03-10	B.1	
Netherlands/NA/12/2020|EPI_ISL_415468|2020-03-10	Netherlands/NA/12/2020	EPI_ISL_415468	Netherlands	2020-03-10	B.1	
Netherlands/NA/13/2020|EPI_ISL_415469|2020-03-10	Netherlands/NA/13/2020	EPI_ISL_415469	Netherlands	2020-03-10	B.1	
Netherlands/NA/14/2020|EPI_ISL_415470|2020-03-10	Netherlands/NA/14/2020	EPI_ISL_415470	Netherlands	2020-03-10	B.2	
Netherlands/NA/15/2020|EPI_ISL_415471|2020-03-11	Netherlands/NA/15/2020	EPI_ISL_415471	Netherlands	2020-03-11	B.1	
Netherlands/NA/16/2020|EPI_ISL_415472|2020-03-11	Netherlands/NA/16/2020	EPI_ISL_415472	Netherlands	2020-03-11	B.1	
Netherlands/NA/17/2020|EPI_ISL_415473|2020-03-09	Netherlands/NA/17/2020	EPI_ISL_415473	Netherlands	2020-03-09	B.1	
Netherlands/NA/18/2020|EPI_ISL_415474|2020-03-09	Netherlands/NA/18/2020	EPI_ISL_415474	Netherlands	2020-03-09	B.1	
Netherlands/NA/19/2020|EPI_ISL_415475|2020-03-12	Netherlands/NA/19/2020	EPI_ISL_415475	Netherlands	2020-03-12	B.1	
Netherlands/NA/2/2020|EPI_ISL_415476|2020-03-10	Netherlands/NA/2/2020	EPI_ISL_415476	Netherlands	2020-03-10	B.1	
Netherlands/NA/20/2020|EPI_ISL_415477|2020-03-12	Netherlands/NA/20/2020	EPI_ISL_415477	Netherlands	2020-03-12	B.1	
Netherlands/NA/21/2020|EPI_ISL_415478|2020-03-08	Netherlands/NA/21/2020	EPI_ISL_415478	Netherlands	2020-03-08	B.2.1	
Netherlands/NA/22/2020|EPI_ISL_415479|2020-03-08	Netherlands/NA/22/2020	EPI_ISL_415479	Netherlands	2020-03-08	B	
Netherlands/NA/23/2020|EPI_ISL_415480|2020-03-09	Netherlands/NA/23/2020	EPI_ISL_415480	Netherlands	2020-03-09	B.1	
Netherlands/NA/24/2020|EPI_ISL_415481|2020-03-08	Netherlands/NA/24/2020	EPI_ISL_415481	Netherlands	2020-03-08	B.1	
Netherlands/NA/25/2020|EPI_ISL_415482|2020-03-09	Netherlands/NA/25/2020	EPI_ISL_415482	Netherlands	2020-03-09	B.1	
Netherlands/NA/26/2020|EPI_ISL_415483|2020-03-09	Netherlands/NA/26/2020	EPI_ISL_415483	Netherlands	2020-03-09	B.1	
Netherlands/NA/27/2020|EPI_ISL_415484|2020-03-13	Netherlands/NA/27/2020	EPI_ISL_415484	Netherlands	2020-03-13	B.2	
Netherlands/NA/28/2020|EPI_ISL_415485|2020-03-12	Netherlands/NA/28/2020	EPI_ISL_415485	Netherlands	2020-03-12	B.1	
Netherlands/NA/29/2020|EPI_ISL_415486|2020-03-13	Netherlands/NA/29/2020	EPI_ISL_415486	Netherlands	2020-03-13	B.2	
Netherlands/NA/30/2020|EPI_ISL_415487|2020-03-13	Netherlands/NA/30/2020	EPI_ISL_415487	Netherlands	2020-03-13	B.1	
Netherlands/NA/31/2020|EPI_ISL_415488|2020-03-13	Netherlands/NA/31/2020	EPI_ISL_415488	Netherlands	2020-03-13	B.1.8	1
Netherlands/NA/32/2020|EPI_ISL_415489|2020-03-13	Netherlands/NA/32/2020	EPI_ISL_415489	Netherlands	2020-03-13	B	
Netherlands/NA/33/2020|EPI_ISL_415490|2020-03-07	Netherlands/NA/33/2020	EPI_ISL_415490	Netherlands	2020-03-07	B	
Netherlands/NA/34/2020|EPI_ISL_415491|2020-03-07	Netherlands/NA/34/2020	EPI_ISL_415491	Netherlands	2020-03-07	B.2	
Netherlands/NA/35/2020|EPI_ISL_415492|2020-03-10	Netherlands/NA/35/2020	EPI_ISL_415492	Netherlands	2020-03-10	B.2	
Netherlands/NA/6/2020|EPI_ISL_415495|2020-03-10	Netherlands/NA/6/2020	EPI_ISL_415495	Netherlands	2020-03-10	B.3	
Netherlands/NA/7/2020|EPI_ISL_415496|2020-03-09	Netherlands/NA/7/2020	EPI_ISL_415496	Netherlands	2020-03-09	B.1	
Netherlands/NA/8/2020|EPI_ISL_415497|2020-03-09	Netherlands/NA/8/2020	EPI_ISL_415497	Netherlands	2020-03-09	B.1	
Netherlands/NA/9/2020|EPI_ISL_415498|2020-03-09	Netherlands/NA/9/2020	EPI_ISL_415498	Netherlands	2020-03-09	B.1	
Netherlands/NoordBrabant/42/2020|EPI_ISL_415500|2020-03-10	Netherlands/NoordBrabant/42/2020	EPI_ISL_415500	Netherlands	2020-03-10	B	
Netherlands/NoordBrabant/44/2020|EPI_ISL_415501|2020-03-11	Netherlands/NoordBrabant/44/2020	EPI_ISL_415501	Netherlands	2020-03-11	B	
Netherlands/NoordBrabant/45/2020|EPI_ISL_415502|2020-03-09	Netherlands/NoordBrabant/45/2020	EPI_ISL_415502	Netherlands	2020-03-09	B.1	
Netherlands/NoordBrabant/46/2020|EPI_ISL_415503|2020-03-11	Netherlands/NoordBrabant/46/2020	EPI_ISL_415503	Netherlands	2020-03-11	A.2	1
Netherlands/NoordBrabant/47/2020|EPI_ISL_415504|2020-03-09	Netherlands/NoordBrabant/47/2020	EPI_ISL_415504	Netherlands	2020-03-09	B	
Netherlands/NoordBrabant/48/2020|EPI_ISL_415505|2020-03-11	Netherlands/NoordBrabant/48/2020	EPI_ISL_415505	Netherlands	2020-03-11	B	
Netherlands/NoordBrabant/49/2020|EPI_ISL_415506|2020-03-11	Netherlands/NoordBrabant/49/2020	EPI_ISL_415506	Netherlands	2020-03-11	B	
Netherlands/NoordBrabant/52/2020|EPI_ISL_415508|2020-03-09	Netherlands/NoordBrabant/52/2020	EPI_ISL_415508	Netherlands	2020-03-09	B	
Netherlands/NoordBrabant/54/2020|EPI_ISL_415510|2020-03-09	Netherlands/NoordBrabant/54/2020	EPI_ISL_415510	Netherlands	2020-03-09	B	
Netherlands/NoordBrabant/55/2020|EPI_ISL_415511|2020-03-09	Netherlands/NoordBrabant/55/2020	EPI_ISL_415511	Netherlands	2020-03-09	B.1	
Netherlands/NoordBrabant/56/2020|EPI_ISL_415512|2020-03-09	Netherlands/NoordBrabant/56/2020	EPI_ISL_415512	Netherlands	2020-03-09	B.2	
Netherlands/NoordBrabant/57/2020|EPI_ISL_415513|2020-03-11	Netherlands/NoordBrabant/57/2020	EPI_ISL_415513	Netherlands	2020-03-11	B	
Netherlands/NoordBrabant/58/2020|EPI_ISL_415514|2020-03-11	Netherlands/NoordBrabant/58/2020	EPI_ISL_415514	Netherlands	2020-03-11	B.1	
Netherlands/NoordBrabant/59/2020|EPI_ISL_415515|2020-03-11	Netherlands/NoordBrabant/59/2020	EPI_ISL_415515	Netherlands	2020-03-11	B.1	
Netherlands/NoordBrabant/60/2020|EPI_ISL_415516|2020-03-11	Netherlands/NoordBrabant/60/2020	EPI_ISL_415516	Netherlands	2020-03-11	B	
Netherlands/NoordBrabant/68/2020|EPI_ISL_415524|2020-03-12	Netherlands/NoordBrabant/68/2020	EPI_ISL_415524	Netherlands	2020-03-12	B	
Netherlands/NoordHolland/3/2020|EPI_ISL_415525|2020-03-12	Netherlands/NoordHolland/3/2020	EPI_ISL_415525	Netherlands	2020-03-12	B.1	
Netherlands/Utrecht/17/2020|EPI_ISL_415526|2020-03-10	Netherlands/Utrecht/17/2020	EPI_ISL_415526	Netherlands	2020-03-10	A.4	
Netherlands/Utrecht/18/2020|EPI_ISL_415527|2020-03-12	Netherlands/Utrecht/18/2020	EPI_ISL_415527	Netherlands	2020-03-12	B.2	
Netherlands/Utrecht/19/2020|EPI_ISL_415528|2020-03-12	Netherlands/Utrecht/19/2020	EPI_ISL_415528	Netherlands	2020-03-12	B	
Netherlands/ZuidHolland/25/2020|EPI_ISL_415529|2020-03-09	Netherlands/ZuidHolland/25/2020	EPI_ISL_415529	Netherlands	2020-03-09	B.1	
Netherlands/ZuidHolland/26/2020|EPI_ISL_415530|2020-03-09	Netherlands/ZuidHolland/26/2020	EPI_ISL_415530	Netherlands	2020-03-09	B.1	
Netherlands/ZuidHolland/27/2020|EPI_ISL_415531|2020-03-09	Netherlands/ZuidHolland/27/2020	EPI_ISL_415531	Netherlands	2020-03-09	B.3	
Netherlands/ZuidHolland/28/2020|EPI_ISL_415532|2020-03-09	Netherlands/ZuidHolland/28/2020	EPI_ISL_415532	Netherlands	2020-03-09	B.1	
Netherlands/ZuidHolland/29/2020|EPI_ISL_415533|2020-03-09	Netherlands/ZuidHolland/29/2020	EPI_ISL_415533	Netherlands	2020-03-09	B.1	
Netherlands/ZuidHolland/30/2020|EPI_ISL_415534|2020-03-11	Netherlands/ZuidHolland/30/2020	EPI_ISL_415534	Netherlands	2020-03-11	B.1	
Netherlands/ZuidHolland/31/2020|EPI_ISL_415535|2020-03-12	Netherlands/ZuidHolland/31/2020	EPI_ISL_415535	Netherlands	2020-03-12	B.1.8	
USA/UPHL-01/2020|EPI_ISL_415539|2020-03-13	USA/UPHL-01/2020	EPI_ISL_415539	USA	2020-03-13	B	
USA/UPHL-02/2020|EPI_ISL_415540|2020-03-13	USA/UPHL-02/2020	EPI_ISL_415540	USA	2020-03-13	B	
USA/UPHL-03/2020|EPI_ISL_415541|2020-03-13	USA/UPHL-03/2020	EPI_ISL_415541	USA	2020-03-13	A.1	
USA/UPHL-04/2020|EPI_ISL_415542|2020-03-13	USA/UPHL-04/2020	EPI_ISL_415542	USA	2020-03-13	A.1	1
USA/UPHL-05/2020|EPI_ISL_415543|2020-03-13	USA/UPHL-05/2020	EPI_ISL_415543	USA	2020-03-13	B.1	
USA/UPHL-06/2020|EPI_ISL_415544|2020-03-13	USA/UPHL-06/2020	EPI_ISL_415544	USA	2020-03-13	B.1	
Canada/BC_69243/2020|EPI_ISL_415577|2020-02-20	Canada/BC_69243/2020	EPI_ISL_415577	Canada	2020-02-20	B.4	
Canada/BC_13297/2020|EPI_ISL_415578|2020-02-27	Canada/BC_13297/2020	EPI_ISL_415578	Canada	2020-02-27	B.4	
Canada/BC_25211/2020|EPI_ISL_415579|2020-03-02	Canada/BC_25211/2020	EPI_ISL_415579	Canada	2020-03-02	B.4.1	
Canada/BC_17397/2020|EPI_ISL_415580|2020-02-28	Canada/BC_17397/2020	EPI_ISL_415580	Canada	2020-02-28	B.4	
Canada/BC_02421/2020|EPI_ISL_415581|2020-03-01	Canada/BC_02421/2020	EPI_ISL_415581	Canada	2020-03-01	B.4	
Canada/BC_35720/2020|EPI_ISL_415582|2020-03-04	Canada/BC_35720/2020	EPI_ISL_415582	Canada	2020-03-04	B.7	
Canada/BC_40860/2020|EPI_ISL_415583|2020-03-03	Canada/BC_40860/2020	EPI_ISL_415583	Canada	2020-03-03	B	
Canada/BC_41851/2020|EPI_ISL_415584|2020-03-02	Canada/BC_41851/2020	EPI_ISL_415584	Canada	2020-03-02	A.1	1
Canada/BC_65034/2020|EPI_ISL_415585|2020-03-04	Canada/BC_65034/2020	EPI_ISL_415585	Canada	2020-03-04	B.4.1	
Canada/BC_64686/2020|EPI_ISL_415586|2020-03-05	Canada/BC_64686/2020	EPI_ISL_415586	Canada	2020-03-05	A.1	
Canada/BC_66353/2020|EPI_ISL_415587|2020-03-04	Canada/BC_66353/2020	EPI_ISL_415587	Canada	2020-03-04	B.4.1	
Canada/BC_83109/2020|EPI_ISL_415588|2020-03-05	Canada/BC_83109/2020	EPI_ISL_415588	Canada	2020-03-05	A.1	
Canada/BC_83163/2020|EPI_ISL_415589|2020-03-05	Canada/BC_83163/2020	EPI_ISL_415589	Canada	2020-03-05	A.1	
Canada/BC_78548/2020|EPI_ISL_415590|2020-03-05	Canada/BC_78548/2020	EPI_ISL_415590	Canada	2020-03-05	B.2.1	
USA/WA-UW63/2020|EPI_ISL_415591|2020-03-10	USA/WA-UW63/2020	EPI_ISL_415591	USA	2020-03-10	A.1	
USA/WA-UW64/2020|EPI_ISL_415592|2020-03-09	USA/WA-UW64/2020	EPI_ISL_415592	USA	2020-03-09	A.1	
USA/WA-UW66/2020|EPI_ISL_415594|2020-03-10	USA/WA-UW66/2020	EPI_ISL_415594	USA	2020-03-10	A.1	
USA/WA-UW67/2020|EPI_ISL_415595|2020-03-09	USA/WA-UW67/2020	EPI_ISL_415595	USA	2020-03-09	A.1	
USA/WA-UW68/2020|EPI_ISL_415596|2020-03-09	USA/WA-UW68/2020	EPI_ISL_415596	USA	2020-03-09	A.1	
USA/WA-UW69/2020|EPI_ISL_415597|2020-03-10	USA/WA-UW69/2020	EPI_ISL_415597	USA	2020-03-10	B.1	
USA/WA-UW70/2020|EPI_ISL_415598|2020-03-10	USA/WA-UW70/2020	EPI_ISL_415598	USA	2020-03-10	A.1	
USA/WA-UW71/2020|EPI_ISL_415599|2020-03-09	USA/WA-UW71/2020	EPI_ISL_415599	USA	2020-03-09	A.1	
USA/WA-UW72/2020|EPI_ISL_415600|2020-03-09	USA/WA-UW72/2020	EPI_ISL_415600	USA	2020-03-09	A.1	
USA/WA-UW73/2020|EPI_ISL_415601|2020-03-10	USA/WA-UW73/2020	EPI_ISL_415601	USA	2020-03-10	B.1	
USA/WA-UW74/2020|EPI_ISL_415602|2020-03-10	USA/WA-UW74/2020	EPI_ISL_415602	USA	2020-03-10	A.1	
USA/WA-UW75/2020|EPI_ISL_415603|2020-03-10	USA/WA-UW75/2020	EPI_ISL_415603	USA	2020-03-10	A.1	
USA/WA-UW76/2020|EPI_ISL_415604|2020-03-10	USA/WA-UW76/2020	EPI_ISL_415604	USA	2020-03-10	A.1	
USA/WA-UW40/2020|EPI_ISL_415605|2020-03-05	USA/WA-UW40/2020	EPI_ISL_415605	USA	2020-03-05	A.1	
USA/WA-UW41/2020|EPI_ISL_415606|2020-03-08	USA/WA-UW41/2020	EPI_ISL_415606	USA	2020-03-08	A.1	
USA/WA-UW42/2020|EPI_ISL_415607|2020-03-09	USA/WA-UW42/2020	EPI_ISL_415607	USA	2020-03-09	A.1	
USA/WA-UW43/2020|EPI_ISL_415608|2020-03-08	USA/WA-UW43/2020	EPI_ISL_415608	USA	2020-03-08	A.1	
USA/WA-UW44/2020|EPI_ISL_415609|2020-03-08	USA/WA-UW44/2020	EPI_ISL_415609	USA	2020-03-08	A.1	1
USA/WA-UW45/2020|EPI_ISL_415610|2020-03-08	USA/WA-UW45/2020	EPI_ISL_415610	USA	2020-03-08	A.1	
USA/WA-UW46/2020|EPI_ISL_415611|2020-03-09	USA/WA-UW46/2020	EPI_ISL_415611	USA	2020-03-09	A.1	
USA/WA-UW47/2020|EPI_ISL_415612|2020-03-09	USA/WA-UW47/2020	EPI_ISL_415612	USA	2020-03-09	A.1	
USA/WA-UW48/2020|EPI_ISL_415613|2020-03-09	USA/WA-UW48/2020	EPI_ISL_415613	USA	2020-03-09	A.1	
USA/WA-UW49/2020|EPI_ISL_415614|2020-03-09	USA/WA-UW49/2020	EPI_ISL_415614	USA	2020-03-09	A.1	
USA/WA-UW50/2020|EPI_ISL_415615|2020-03-08	USA/WA-UW50/2020	EPI_ISL_415615	USA	2020-03-08	A.1	
USA/WA-UW51/2020|EPI_ISL_415616|2020-03-08	USA/WA-UW51/2020	EPI_ISL_415616	USA	2020-03-08	A.1	
USA/WA-UW52/2020|EPI_ISL_415617|2020-03-09	USA/WA-UW52/2020	EPI_ISL_415617	USA	2020-03-09	A.1	
USA/WA-UW54/2020|EPI_ISL_415619|2020-03-09	USA/WA-UW54/2020	EPI_ISL_415619	USA	2020-03-09	A.1	
USA/WA-UW55/2020|EPI_ISL_415620|2020-03-09	USA/WA-UW55/2020	EPI_ISL_415620	USA	2020-03-09	A.1	
USA/WA-UW56/2020|EPI_ISL_415621|2020-03-09	USA/WA-UW56/2020	EPI_ISL_415621	USA	2020-03-09	A.1	
USA/WA-UW57/2020|EPI_ISL_415622|2020-03-09	USA/WA-UW57/2020	EPI_ISL_415622	USA	2020-03-09	A.1	
USA/WA-UW58/2020|EPI_ISL_415623|2020-03-09	USA/WA-UW58/2020	EPI_ISL_415623	USA	2020-03-09	A.1	
USA/WA-UW59/2020|EPI_ISL_415624|2020-03-09	USA/WA-UW59/2020	EPI_ISL_415624	USA	2020-03-09	A.1	
USA/WA-UW60/2020|EPI_ISL_415625|2020-03-09	USA/WA-UW60/2020	EPI_ISL_415625	USA	2020-03-09	B.1	
USA/WA-UW61/2020|EPI_ISL_415626|2020-03-10	USA/WA-UW61/2020	EPI_ISL_415626	USA	2020-03-10	A.1	
USA/WA-UW62/2020|EPI_ISL_415627|2020-03-09	USA/WA-UW62/2020	EPI_ISL_415627	USA	2020-03-09	A.1	
Scotland/CVR06/2020|EPI_ISL_415628|2020-03-07	Scotland/CVR06/2020	EPI_ISL_415628	UK	2020-03-07	B	
Scotland/CVR07/2020|EPI_ISL_415630|2020-03-09	Scotland/CVR07/2020	EPI_ISL_415630	UK	2020-03-09	B.2.1	1
Scotland/CVR10/2020|EPI_ISL_415631|2020-03-10	Scotland/CVR10/2020	EPI_ISL_415631	UK	2020-03-10	B.2.2	1
Georgia/Tb-54/2020|EPI_ISL_415641|2020-02-27	Georgia/Tb-54/2020	EPI_ISL_415641	Georgia	2020-02-27	B.2	
Georgia/Tb-477/2020|EPI_ISL_415642|2020-03-10	Georgia/Tb-477/2020	EPI_ISL_415642	Georgia	2020-03-10	B.1	
Georgia/Tb-468/2020|EPI_ISL_415643|2020-03-10	Georgia/Tb-468/2020	EPI_ISL_415643	Georgia	2020-03-10	B.2	
Georgia/Tb-82/2020|EPI_ISL_415644|2020-02-28	Georgia/Tb-82/2020	EPI_ISL_415644	Georgia	2020-02-28	B.4.1	
Denmark/SSI-101/2020|EPI_ISL_415646|2020-03-03	Denmark/SSI-101/2020	EPI_ISL_415646	Denmark	2020-03-03	B.1.10	
Denmark/SSI-102/2020|EPI_ISL_415647|2020-03-03	Denmark/SSI-102/2020	EPI_ISL_415647	Denmark	2020-03-03	B.1	
Denmark/SSI-104/2020|EPI_ISL_415648|2020-03-03	Denmark/SSI-104/2020	EPI_ISL_415648	Denmark	2020-03-03	B.1	
France/HF2039/2020|EPI_ISL_415649|2020-03-05	France/HF2039/2020	EPI_ISL_415649	France	2020-03-05	B.1	
France/IDF2075/2020|EPI_ISL_415650|2020-03-02	France/IDF2075/2020	EPI_ISL_415650	France	2020-03-02	B.1	
France/BFC2094/2020|EPI_ISL_415651|2020-03-05	France/BFC2094/2020	EPI_ISL_415651	France	2020-03-05	B.1	
France/BFC2147/2020|EPI_ISL_415652|2020-03-05	France/BFC2147/2020	EPI_ISL_415652	France	2020-03-05	B.1	
France/HF2151/2020|EPI_ISL_415653|2020-03-08	France/HF2151/2020	EPI_ISL_415653	France	2020-03-08	B.1	
France/HF2174/2020|EPI_ISL_415654|2020-03-09	France/HF2174/2020	EPI_ISL_415654	France	2020-03-09	B.1	
Chile/Santiago_op2d1/2020|EPI_ISL_415658|2020-03-06	Chile/Santiago_op2d1/2020	EPI_ISL_415658	Chile	2020-03-06	A.2	
Chile/Santiago_op3d1/2020|EPI_ISL_415660|2020-03-07	Chile/Santiago_op3d1/2020	EPI_ISL_415660	Chile	2020-03-07	A.2	
Chile/Santiago_op4d1/2020|EPI_ISL_415661|2020-03-08	Chile/Santiago_op4d1/2020	EPI_ISL_415661	Chile	2020-03-08	A.2	
France/HF2039/2020|EPI_ISL_415692|2020-03-05	France/HF2039/2020	EPI_ISL_415692	France	2020-03-05	B.1	
France/IDF2075/2020|EPI_ISL_415693|2020-03-02	France/IDF2075/2020	EPI_ISL_415693	France	2020-03-02	B.1	
France/BFC2094/2020|EPI_ISL_415694|2020-03-05	France/BFC2094/2020	EPI_ISL_415694	France	2020-03-05	B.1	
France/BFC2147/2020|EPI_ISL_415695|2020-03-05	France/BFC2147/2020	EPI_ISL_415695	France	2020-03-05	B.1	
France/HF2151/2020|EPI_ISL_415696|2020-03-08	France/HF2151/2020	EPI_ISL_415696	France	2020-03-08	B.1	
France/HF2174/2020|EPI_ISL_415697|2020-03-09	France/HF2174/2020	EPI_ISL_415697	France	2020-03-09	B.1	
Switzerland/GR2988/2020|EPI_ISL_415698|2020-02-27	Switzerland/GR2988/2020	EPI_ISL_415698	Switzerland	2020-02-27	B.1	
Switzerland/GR3043/2020|EPI_ISL_415699|2020-02-27	Switzerland/GR3043/2020	EPI_ISL_415699	Switzerland	2020-02-27	B.1	
Switzerland/GE1402/2020|EPI_ISL_415700|2020-02-28	Switzerland/GE1402/2020	EPI_ISL_415700	Switzerland	2020-02-28	B.1	
Switzerland/BS0914/2020|EPI_ISL_415701|2020-03-02	Switzerland/BS0914/2020	EPI_ISL_415701	Switzerland	2020-03-02	B.1	
Switzerland/SZ1417/2020|EPI_ISL_415702|2020-03-02	Switzerland/SZ1417/2020	EPI_ISL_415702	Switzerland	2020-03-02	B.1	
Switzerland/TI2045/2020|EPI_ISL_415703|2020-03-01	Switzerland/TI2045/2020	EPI_ISL_415703	Switzerland	2020-03-01	B.1	
Switzerland/BE2536/2020|EPI_ISL_415704|2020-03-04	Switzerland/BE2536/2020	EPI_ISL_415704	Switzerland	2020-03-04	B.1	
Switzerland/GE4135/2020|EPI_ISL_415705|2020-03-06	Switzerland/GE4135/2020	EPI_ISL_415705	Switzerland	2020-03-06	B.1	
Switzerland/GE062072020|EPI_ISL_415706|2020-03-06	Switzerland/GE062072020	EPI_ISL_415706	Switzerland	2020-03-06	B.1	
Switzerland/GE6679/2020|EPI_ISL_415707|2020-03-08	Switzerland/GE6679/2020	EPI_ISL_415707	Switzerland	2020-03-08	B.1	
Switzerland/GE4984/2020|EPI_ISL_415708|2020-03-07	Switzerland/GE4984/2020	EPI_ISL_415708	Switzerland	2020-03-07	B.1	
Hangzhou/ZJU-01/2020|EPI_ISL_415709|2020-01-25	Hangzhou/ZJU-01/2020	EPI_ISL_415709	China	2020-01-25	B.2	
Hangzhou/ZJU-05/2020|EPI_ISL_415711|2020-01-22	Hangzhou/ZJU-05/2020	EPI_ISL_415711	China	2020-01-22	B	
Taiwan/CGMH-CGU-03/2020|EPI_ISL_415741|2020-02-26	Taiwan/CGMH-CGU-03/2020	EPI_ISL_415741	Taiwan	2020-02-26	B.4	
Taiwan/CGMH-CGU-04/2020|EPI_ISL_415742|2020-02-27	Taiwan/CGMH-CGU-04/2020	EPI_ISL_415742	Taiwan	2020-02-27	B.4	
Taiwan/CGMH-CGU-05/2020|EPI_ISL_415743|2020-02-27	Taiwan/CGMH-CGU-05/2020	EPI_ISL_415743	Taiwan	2020-02-27	B.4	
Peru/010/2020|EPI_ISL_415787|2020-03-10	Peru/010/2020	EPI_ISL_415787	Peru	2020-03-10	B.1	
Brazil/SPBR-07/2020|EPI_ISL_416028|2020-03-03	Brazil/SPBR-07/2020	EPI_ISL_416028	Brazil	2020-03-03	B.1	1
Brazil/SPBR-08/2020|EPI_ISL_416029|2020-03-04	Brazil/SPBR-08/2020	EPI_ISL_416029	Brazil	2020-03-04	B.1	
Brazil/SPBR-09/2020|EPI_ISL_416031|2020-03-04	Brazil/SPBR-09/2020	EPI_ISL_416031	Brazil	2020-03-04	B.1	
Brazil/SPBR-10/2020|EPI_ISL_416032|2020-03-04	Brazil/SPBR-10/2020	EPI_ISL_416032	Brazil	2020-03-04	B.2	
Brazil/SPBR-11/2020|EPI_ISL_416033|2020-03-03	Brazil/SPBR-11/2020	EPI_ISL_416033	Brazil	2020-03-03	B.3	
Brazil/SPBR-12/2020|EPI_ISL_416034|2020-03-04	Brazil/SPBR-12/2020	EPI_ISL_416034	Brazil	2020-03-04	B.1	
Brazil/SPBR-13/2020|EPI_ISL_416035|2020-03-05	Brazil/SPBR-13/2020	EPI_ISL_416035	Brazil	2020-03-05	B.1	
Brazil/SPBR-14/2020|EPI_ISL_416036|2020-03-05	Brazil/SPBR-14/2020	EPI_ISL_416036	Brazil	2020-03-05	B.1	
Hangzhou/ZJU-02/2020|EPI_ISL_416042|2020-01-26	Hangzhou/ZJU-02/2020	EPI_ISL_416042	China	2020-01-26	A	
Hangzhou/ZJU-03/2020|EPI_ISL_416044|2020-01-25	Hangzhou/ZJU-03/2020	EPI_ISL_416044	China	2020-01-25	B	
Hangzhou/ZJU-04/2020|EPI_ISL_416046|2020-01-24	Hangzhou/ZJU-04/2020	EPI_ISL_416046	China	2020-01-24	B	
Hangzhou/ZJU-06/2020|EPI_ISL_416047|2020-02-02	Hangzhou/ZJU-06/2020	EPI_ISL_416047	China	2020-02-02	B	
Denmark/SSI-05/2020|EPI_ISL_416140|2020-03-02	Denmark/SSI-05/2020	EPI_ISL_416140	Denmark	2020-03-02	B.1.1	1
Denmark/SSI-09/2020|EPI_ISL_416141|2020-03-03	Denmark/SSI-09/2020	EPI_ISL_416141	Denmark	2020-03-03	B.1	
Denmark/SSI-01/2020|EPI_ISL_416142|2020-02-26	Denmark/SSI-01/2020	EPI_ISL_416142	Denmark	2020-02-26	B.1	
Denmark/SSI-02/2020|EPI_ISL_416143|2020-02-28	Denmark/SSI-02/2020	EPI_ISL_416143	Denmark	2020-02-28	B.1	
Denmark/SSI-03/2020|EPI_ISL_416144|2020-03-01	Denmark/SSI-03/2020	EPI_ISL_416144	Denmark	2020-03-01	B.1	
Denmark/SSI-04/2020|EPI_ISL_416153|2020-03-02	Denmark/SSI-04/2020	EPI_ISL_416153	Denmark	2020-03-02	B.1	
HongKong/CUHK1/2020|EPI_ISL_416314|2020-02-07	HongKong/CUHK1/2020	EPI_ISL_416314	Hong_Kong	2020-02-07	B.7	
HongKong/CUHK2/2020|EPI_ISL_416315|2020-02-19	HongKong/CUHK2/2020	EPI_ISL_416315	Hong_Kong	2020-02-19	B	
China/Shanghai/SH0002|EPI_ISL_416316|2020-01-25	China/Shanghai/SH0002	EPI_ISL_416316	China	2020-01-25	A	
China/Shanghai/SH0003|EPI_ISL_416317|2020-01-25	China/Shanghai/SH0003	EPI_ISL_416317	China	2020-01-25	A	
China/Shanghai/SH0004|EPI_ISL_416318|2020-01-28	China/Shanghai/SH0004	EPI_ISL_416318	China	2020-01-28	A	
China/Shanghai/SH0005|EPI_ISL_416319|2020-01-28	China/Shanghai/SH0005	EPI_ISL_416319	China	2020-01-28	A	
China/Shanghai/SH0007|EPI_ISL_416320|2020-01-28	China/Shanghai/SH0007	EPI_ISL_416320	China	2020-01-28	B	
China/Shanghai/SH0008|EPI_ISL_416321|2020-01-28	China/Shanghai/SH0008	EPI_ISL_416321	China	2020-01-28	B	
China/Shanghai/SH0009|EPI_ISL_416322|2020-01-29	China/Shanghai/SH0009	EPI_ISL_416322	China	2020-01-29	A	
China/Shanghai/SH0010|EPI_ISL_416323|2020-01-29	China/Shanghai/SH0010	EPI_ISL_416323	China	2020-01-29	A	
China/Shanghai/SH0011|EPI_ISL_416324|2020-01-29	China/Shanghai/SH0011	EPI_ISL_416324	China	2020-01-29	B	
China/Shanghai/SH0012|EPI_ISL_416325|2020-02-02	China/Shanghai/SH0012	EPI_ISL_416325	China	2020-02-02	B	
China/Shanghai/SH0013|EPI_ISL_416326|2020-01-30	China/Shanghai/SH0013	EPI_ISL_416326	China	2020-01-30	A	
